User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,currently working with dboi global services pvt ltd.; bangalore since sept 2013 till,banking   financial services,1.5,"qtp,ccna,lotus notes",0,1,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,banking,,banking   financial services,1.5,balancing,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,antivirus  and security analyst,,banking   financial services,1.58,"system administratio,networkings",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,accounts executive,admin executive,banking   financial services,2,customer assistance,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistance administration,,banking   financial services,2,"networkings,system administratio,linux general,unix   general",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant accountant,b.com with 2years assistant accounts,banking   financial services,2,"assistant of account,accountantss,accountantss",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate,b.tech with 2 years of experience in prizm payment services with a designation of associate,banking   financial services,2,"c,c++,java,java swing   jfc,java swing",1,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bits executive,bits excutive,banking   financial services,2,support team,0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bpo,my resume,banking   financial services,2,"bpo,msoffice knowledge",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,call coordinator,,banking   financial services,2,tally9,0,0,banking,financialservices
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,comp.h w n w engineer,comp. engg.,banking   financial services,2,comp.h w &amp; n w,0,1,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,cash,atm industry,banking   financial services,2,"recruitment,autom,c;manual testing",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accountant,,banking   financial services,2.42,oprting sytem,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,,banking   financial services,2.5,"system administratio,networkings,linux general,unix   general",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,agm hardware  and chip design,self business experience 4 years,banking   financial services,2.5,"network configuration,wran,antivirus,dhcp",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area hardware technician,,banking   financial services,2.5,"tcp ip,ccna,area  hardware tec",0,1,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager e1 personal banker teller retail,shekhar chawla,banking   financial services,2.5,"c,c#,c++,computer programming,html  hyper text markup language,vb.net,dreamweaver,sql server,actionscript,adobe photoshop,ajax,php,adobe flex,xhtml,css3,xhtml",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,accounts muthooth,bca with 2+ years of accounts department in business intelligence,banking   financial services,2.67,accounts departments,1,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,2.8 exp,banking   financial services,2.67,"system administratio,networkings,linux general,unix   general,windows7",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrstor,aix 7.1;6.1; hmc;nim;vio;lpar;dlpar;wpar;san;linux,banking   financial services,2.67,"linux   general,aix,hmc,visio,ncsim,nfs,stand",0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area hardware technician,,banking   financial services,2.67,"dhcp,wran,18000",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,banking,,banking   financial services,2.67,balancing,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,,banking   financial services,2.83,"wlan,investigation,networkconfiguration",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,antivirus administrator,,banking   financial services,2.83,"system administratio,networkingss,linux general,windows77,system administratio,networkingss,linux general,windows77",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,antivirus administrator,system admin with 4 years of it experience in service industry,banking   financial services,2.83,"changeman,system administratio,networkings,linux general,windows7,antivirus management,dhcp server ; dns;",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,banking   financial services,2.92,"networkings,system administratio,linux general,unix   general",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,identity & access management,banking   financial services,2.92,"unix   general,unix   general,active directory,active directory,gsm,ca provisioning mana,rhcsa,ca provisioning mana",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,job,,banking   financial services,2.92,a+n+mcse;ccna; rhce,0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,harihk resume,banking   financial services,3,"network administration,ccna,resolution,wlan,cisco,tcp ip,wran",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,harihk resume,banking   financial services,3,"network administration,network administration,network administration,network administration,network administration,network administration,network administration,network administration,ccna,resolution,wlan,cisco,tcp ip,wran",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration assistant,,banking   financial services,3,"linux general,system administratio,networkings",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistan technical executive,bsc.cs with 2year and 8 months experiance in networking field,banking   financial services,3,"resolution,vlans,ccna,mcitp,smtp,ospf",1,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant engineer,,banking   financial services,3,"linux general,system administratio,networkings,windows7",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,atm monitoring,atm monitoring,banking   financial services,3,atm monitoring,0,0,banking,financialservices
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,network engineer,banking,banking   financial services,3,hardware networking,0,0,banking,financialservices
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,service engineers,,banking   financial services,3,"good knowledge of co,good knowledge in at",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,banking software support,,banking   financial services,3,ccna,0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support,,banking   financial services,3.08,".net programming,adobe dreamweaver",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistance network admin,eg.mcse; hp;with 3+byears of it experiience in business,banking   financial services,3.08,"network security,wran,internet security,networking protocols,ccna,ccnp,cissp",0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,asst manager_it,asst mgnr_data center karur vysya bank ltd ,banking   financial services,3.08,"network implementation,vendor management,branch infrastructur,it risk mgmt,it network mgmt,it asset management",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,banking  and teacher life,,banking   financial services,3.25,2 years,0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,collection officer,collection,banking   financial services,3.5,collection for cv ve,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,,banking   financial services,3.5,"webdriver,active directory,h w and networking",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,active directory engineer,technical analyst,banking   financial services,3.58,"resolution,vlans,wran,technical support,troubleshooting,order management & tracking,tcp ip,good commnication sk,order fullfillment,cisco,udp,assembling,osi model,antivirus,network support",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,atm cash loading,thirums,banking   financial services,3.58,"2,i am working in a lu,brinks arya india",0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,banking operations,,banking   financial services,3.58,"jab,3years,3,1",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,,banking   financial services,3.75,"aix,netbackup,aix5.3;6.1,nim server &amp; nim,customer relations",0,1,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,aadhar supervisor,rk jatt,banking   financial services,3.83,,0,0,telecom,isp
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,antivirus administrator,,banking   financial services,3.83,"technical support,technical and process training,core java,networkings,xhtml",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support executive,application support executive,banking   financial services,3.83,"ibis,a+;network +,pchardware",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin backoffice,,banking   financial services,3.92,"telemarketing,backoffice,system administratio",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accounting,accountant with good knowledge about audit,banking   financial services,4,"accountancy and economics,accounting concepts",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,banking   financial services,4,"networkings,system administratio",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration executive,,banking   financial services,4,"networkings,system administratio,linux general,unix   general,windows7",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,banking   financial services,4,"networkings,system administratio,linux general,unix   general,windows7",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix  and linux administrator,,banking   financial services,4,aix &amp; linux admi,0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,,banking   financial services,4,"hacmp,aix,visio,ncsim,tsrm",0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,application engineer,e banking support implementation engineer,banking   financial services,4,"desktop applications,desktop troubleshooting,c,vrf,msoffice excel,systems,vrf engineering,implementation engin,application engineer",1,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant admin,,banking   financial services,4,"investigation,troubleshooting,configurations,faultmanagement",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cctv technician operator bms,cctv technician   operator   bms,banking   financial services,4,"network security,pc hardware,rdbms,networking protocols,ms office,cctv security,cctv technical,cctv operator,access control,time attendance syst",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,year experienced,work  exp,banking   financial services,4,"work experience,team work experience,office job experienc,field job experience,sales &amp; marketin,4 trs experienced",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accountant,,banking   financial services,4.08,,0,0,it,software
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator l2,,banking   financial services,4.33,"networkings,system administratio,linux general,unix   general",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,branch manager,,banking   financial services,4.33,"hindi,hindi &amp; english,punjabi,english &amp; punjab",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,area hardware technician,it technical  hw sw installation and maintaince ,banking   financial services,4.42,"hrm,english,erp and crm,computer maintenance repair,marketing   packaging,human resources,hindi,microsoft office",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,4.6 year experiance system administrator,administrator,banking   financial services,4.5,"remote infrastructure management,windows 7,dhcp,dhcp xenserver,vpns,antivirus,mcafee,trained,h&amp;n professional,xenserver 2008,windows 8,dns,xenserver,tcp ip,mcse,active directory con,windows xenserver",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,vsphere admin,banking   financial services,4.5,"windows xp,network administration,system administration,windows 7,sccm,citirix,active directory,windows server 2008,netdeploy,ubuntu,outlook,incident management,mcitp,hardware diagnostics,vmware vsphere 5.1,windows xp pro,windows server,citirix metaframe,private cloud,citirix admin,outlook 2010,vedio,windows system admin",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,application support engineer,customer support engineer,banking   financial services,4.5,"java,c++",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,back office ; banking,,banking   financial services,4.5,digital hardware,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,,banking   financial services,4.67,"linux general,system administratio",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area hardware technician,technical support engineer,banking   financial services,4.67,"hardware and network,assembling",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,accounts assistant,resume,banking   financial services,4.75,"financial accounting,operational,online training,application software,online billing,graduate,tally9,asst accounts,billing deportment,all types of on line,preparation,online financial bil",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager it system support,assistant manager it system support,banking   financial services,4.75,c; c++,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin manager,bca with approx 5 years exp. in system admin and it asst. manager;tech support.,banking   financial services,4.83,"system administration,administration",1,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accounts it,accounts   it,banking   financial services,5,"tally9,saad al mobty co:",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative assistant,,banking   financial services,5,"windows7,networkings",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix admin,aix admin with 5+ years of it experience,banking   financial services,5,"aix admin,lvm,ncsim,visio",0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager,,banking   financial services,5,"troubleshooting,hardware designing,hardware description,restore database of",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,atm engineer,service engineer,banking   financial services,5,network configuratio,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,year specialist financial broking it network domain,5 years specialist in financial broking it network domain,banking   financial services,5,"it service management,mcse,networkings,technical support",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,banking operations,back office operations,banking   financial services,5,computer hardware an,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,antivirus administrator,antivirus administrator,banking   financial services,5.25,"dhcp,system administration,mcts,antivirus administra,trendmicro,windows server",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant systems engineer,system support engineer,banking   financial services,5.33,"wlan,network performance management,wran,technical support,troubleshooting,vendor management,desktop support,networkings,remote desktop,network hardware,antivirus,support systems,computer hardware,problem solving,software installatio,exp,it operations,desktop computers",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,as. manager mis,application for it area,banking   financial services,5.42,"networkings,plsql server,plsql,microsoft certified",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,banking   financial services,5.58,"active directory,apache webserver,system administratio,computer associates,database administrat,networkings,linux general",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,clerk,computer hardware & computer operator,banking   financial services,5.75,computer operator &a,0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative assistants,,banking   financial services,6,computer science,1,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,aix administrator,bca with 6 years of it experience,banking   financial services,6,"storage,storage,aix administrator,firmware,aix,firmware",1,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,techinal support engineer with 6 years exp,banking   financial services,6,"application server,ccna",0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,as400 iseries l2 operate,iseries as400 admin,banking   financial services,6,"system design,customer support net,as400 iseries admin,as400 admin,as400 iseries admin",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager it,assistant manager information technology,banking   financial services,6,troubleshooting on h,0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant it manager,mca with 6 years plus it networking experience,banking   financial services,6.17,"cisco ccnp,network monitoring &,specialty,computers,wran,switching,tcp ip,ccna,ccie;ccnp r&amp;s ;c,os; computer hardwar,desktop engineer,cisco,firewall;networking,2 factor authenticat",1,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,,banking   financial services,6.25,"dhcp,eigrp,resolution,tcp ip,ccna,installation of vari,cisco,ospf,vlans",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration it,,banking   financial services,6.33,"networkings,system administratio,linux general,unix   general",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support specialist,support specialist,banking   financial services,6.5,change and release m,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support analyst,,banking   financial services,6.58,"networkings,system administratio,investigation,maintaining servers",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system admin,aix admin with 6+ years experience,banking   financial services,6.75,"aix,vio; hmc; and ibm po,hacmp and gpfs,aix,vio; hmc and ibm pow,hacmp and gpfs",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,access management,access management,banking   financial services,7,"logistics,purchases,warehousing,procurement,scom",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,,banking   financial services,7,"administration,sales &amp; netwrkin,general administrati",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,banking   financial services,7,"system administratio,networkings,linux general,windows7",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,ass it manager,ass it manager,banking   financial services,7,"tech support,desktop & laptop har,handling & installin,attending & handling,data center l1 suppo,desktop & laptop har,handling & installin,attending & handling,data center l1 suppo",1,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cashier,,banking   financial services,7,seven year,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,it,be it  with nine year experience,banking   financial services,7,"ms sql,sql server,network administration,system administration,wide area networking systems,windows7 nt administration,windows7,ccna",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst ii sys admin  and support,,banking   financial services,7.17,system administratio,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,information security with 7 years of experience in access and identity management; recertification;,banking   financial services,7.17,"internal audit,citirix,firmware,active directory,mcse,information security,access and identity,sox,incident problem man,iso 27001 implementa",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator  and technical support,,banking   financial services,7.25,"system administratio,networkings,mbist,sales",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,application maintainance,vijay sawant,banking   financial services,7.42,"implementation,firewalls,application maintain,new version testing,bug fixing,implementation",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,administrator,it and telecom,banking   financial services,7.58,"autom,ccna,formating,assembling,qos,astra,vpns",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,3 yr diploma after 10+2 science; b.tech vi sem distance mode having 6 year experience in it,banking   financial services,7.67,"microprocessors,machining,assembly line and fabrication,network design and administration,mcse,ccna",1,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst identity access management,customer service executive,banking   financial services,7.83,"preparation,catalyst",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accounts officer  and information technology,executive accounts & it,banking   financial services,8,all in 1,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative assistant,,banking   financial services,8,"preparation,quality assurance,technical support,office administratio",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,advisory senior consultant,,banking   financial services,8,"oracle9i,plsql,unix",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,communication support engineer,hardware engineer,banking   financial services,8,computer hardwar   n,0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,chief manager; itcell,it manager ;system administrator,banking   financial services,8.25,"citirix,citirix,firmware,firmware,system administration,windows7,it manager,data center,it management",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,chief manager; itcell,it manager ;system administrator,banking   financial services,8.25,"citirix,firmware,system administration,windows7,it manager,data center,it management",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,,banking   financial services,8.33,".net,acquisitions,advertising,networkings,approach,system administratio,linux general",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,application maintainance,vijay sawant,banking   financial services,8.42,"firewalls,application maintain,new version testing,bug fixing,implementation",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager information technology,,banking   financial services,8.5,"bcp &amp; dr,system audit,process correction &,service delivery,strategic planning",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,year experience desktop  and technical support  and system engineer ;backup solution ; it manager  and,9 years experience in desktop & technical support & system engineer ;backup solution ; it manager &,banking   financial services,8.5,"antivirus,backup recovery,desktop troubleshooting,systems engineering,firewalls,network implementation,systems &,server management,vlans,network administration,system administration,network design and administration,mpls,sonicwall,trend micro,vpns,trained,solarwinds npm monit,emc avamar,emc data domain,emc networker",1,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix specialist,,banking   financial services,8.58,"aix,xilinx",0,1,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate,itil v3 foundation with 9yrs experience in it infrastructure service delivery,banking   financial services,8.83,"operations management,project management,process re engineeri,service delivery man,service level agreem,isp vendor managemen,client business mana,infrastructure capac,change incident mana,team management,data centre operatio",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst ii sys admin  and support.,,banking   financial services,9,"linux general,system administratio,networkings,unix   general",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support analyst lead,,banking   financial services,9,"linux general,system administratio,networkings,unix   general,windows7",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cloud virtualization support,it infrastructure analyst,banking   financial services,9,"computer architecture,windows 2000 server,it infrastructure an",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,amara,amara,banking   financial services,9.08,pamara,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix websphere jboss linux storage administration,aix infrastructure administrator,banking   financial services,9.33,"unix   aix,ibm as 400,websphere,tivoli,storage area network  san,aix,as400",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator engineer,,banking   financial services,9.5,"networkings,system administratio,linux general,unix   general,windows7",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admn executive,,banking   financial services,9.5,"networkings,system administratio,linux general,unix   general",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix lead iaas team,aix sme l3,banking   financial services,9.5,"hacmp,aix; itil;,aix,various",0,1,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,agm network design  and admin.,system administrator,banking   financial services,9.67,"investigation,wlan,protocompiler,resolution,operating systems,network administration,network configuration,system administration,virtual private networks,windows7 nt administration,electrical engineering,electricians,vip,windows7,in",1,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager it network,assistant manager network,banking   financial services,10,"cisco routers,dhcp server,ethernet,investigation,vip resolution,wlan,network implementation,network monitoring &,specialty,network operation control,gnoc,resolution,vwlan,switch operations,isup,vip,mpls,ccna,gigabit ethernet,switch maintenance,mrtg",0,1,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager technical expert,assistant manager,banking   financial services,10,network implementation,0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager,network and security consultant with 11 years of experience in design; implementation and support of,banking   financial services,11,"firewalls,wran,technical support,glbp,juniper,hsrp,bgp,cisco",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix sme,aix sme,banking   financial services,12,"aix administration,solaris administration,visio,linux   general,hacmp,hp ux",0,1,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,analyst information security services,,banking   financial services,12,"it operation,information security",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,seeking senior position in itil itsm consultant; incident problem change manager;server monitoring;,banking   financial services,12,project management,0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,area manager,system administrator,banking   financial services,12,"dhcp,firewalls,resolution,wran,tcp ip,remote support,vpns,vsat,assembling",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,asistant manager sr.system administrator,sr system engineer,banking   financial services,12.8,"system administration,lotus domino,windows 2003 server,windows 2008 server,symantec veritas net",0,0,banking,financialservices
"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,sr. atm service engineer,current status,banking   financial services,13.3,"autom,windows7,networkings,system administratio,linux general,kiosk pos",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,banking   financial services,14,admin executive,0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant manager it infra,it infrastructure,banking   financial services,14,"active directory,windows servers,san admin,it infrastructure im",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,avp it,focused; quality and cost conscious professional with 14+ years of experience in it service delivery,banking   financial services,14,it service management,0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,avp network infrastructure,avp network and infrastructure,banking   financial services,14,"cisco administration,project & programme",0,0,banking,financialservices
Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,avp gbm it,avp,banking   financial services,14,"websphere admin,unix admin,proect managemet,datacenter mnagement,it infra",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,avp,technology leader with rich experience in it implementation; delivery & ops; data center management;,banking   financial services,14.2,"audits,strategize,risk management,itsm,infrastructure management,enterprise architecture,release management,service management,analytical,implementation,vendor management,information technolo,it operations,business continuity,process migration,virtual team managem,service delivery,data center manageme,information security,change management",0,0,banking,financialservices
Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assi manager it,assistant manager it,banking   financial services,14.6,"server management,server team lead,dc management",0,0,banking,financialservices
Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant vice president,,banking   financial services,15,"incident management,shell scripting,agilent,oracle9i,dot net,itil",0,0,banking,financialservices
