,User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Skills,Relevant_Match_Score
2490,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,project engineer,uttam,it   hardware   networking,6-12 exp,"computer hardware,assembly language,3g,automation,studio",0,0,it,hardwarenetworking,0,0
2491,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,b.a it,it hardware&networking,it   hardware   networking,6-12 exp,trubleshooting hardw,0,0,it,hardwarenetworking,0,0
2492,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bsnl training,,it   hardware   networking,6-12 exp,",bsnl training,",1,1,it,hardwarenetworking,0,0
2493,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts enginner,,it   hardware   networking,6-12 exp,"bts,microelectronics engineer,computer training,microelectronics,",0,0,it,hardwarenetworking,0,0
2494,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,a+n+,,it   hardware   networking,6-12 exp,",",0,1,it,hardwarenetworking,0,0
2495,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application engineer,,it   hardware   networking,6-12 exp,"dhcp,network monitoring &,specialty,,application software,linux   general,windows 2003,windows 2008,cisco,vpns,resolution,antivirus",0,0,it,hardwarenetworking,0,0
2496,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support network performance maintenance engineer,b.tech  ece ,it   hardware   networking,6-12 exp,",infovista operations,sun solaris 9 os",1,0,it,hardwarenetworking,0,0
2497,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associat,,it   hardware   networking,6-12 exp,pd sc,0,0,it,hardwarenetworking,0,0
2498,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,associate engineer r andd,m.tech vlsi design and embedded systems,it   hardware   networking,6-12 exp,"labview,embedded systems,verilog,c; c++,cmos vlsi,digital design",1,0,it,hardwarenetworking,1,1.0
2499,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate technical enginner,4 month experience as associate technical engineer in cms info system pvt ltd,it   hardware   networking,6-12 exp,"c++,network configuration,asp.net,c",0,0,it,hardwarenetworking,0,0
2500,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cce,diploma in computer engineering with 3 moinths of experience in nokia,it   hardware   networking,6-12 exp,"c++,databases,,trubleshooting,data communication,networkings,computer hardware,,data communication",1,1,it,hardwarenetworking,0,0
2501,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,ccr,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2502,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,chiplevele servicer,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2503,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,client tech support associate,b.e.   computer science and engineering,it   hardware   networking,6-12 exp,,1,0,it,hardwarenetworking,0,0
2504,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,design engineer embedded systems,,it   hardware   networking,6-12 exp,"microcontrollers,linux   embedded,rtos  wince montavistalinux nucleus ucos,embedded c,c language,eagle cadsoft,proteous",0,0,it,hardwarenetworking,1,0.76
2505,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,design verification trainee,mtech,it   hardware   networking,6-12 exp,"strategic planning,system verilog,,,uvm,verilog,matlab,perl,project planning,c,c++",1,0,it,hardwarenetworking,0,0
2506,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded developer,b.tech;,it   hardware   networking,6-12 exp,"embedded design,embedded systems,3d,adobe photoshop,assembly language,c,microcontrollers,keil,pilot",1,0,it,hardwarenetworking,1,0.76
2507,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,engineer samsung service provider.,sevice engineer,it   hardware   networking,6-12 exp,"telecomunication,system software,hardware verification validation testing,internet technology,,good technical skill,good presentation sk,,",0,0,it,hardwarenetworking,0,0
2508,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,internship,,it   hardware   networking,6-12 exp,embedded systems,0,0,it,hardwarenetworking,1,0.76
2509,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,network engineer,networking engineer,it   hardware   networking,6-12 exp,"assembling,microsoft excel,, & tamil  rea,computer hardware,netbackup",0,0,it,hardwarenetworking,0,0
2510,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,r andd based company,intern,it   hardware   networking,6-12 exp,"c++,c,digital electronics",0,0,it,hardwarenetworking,0,0
2511,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,service engineer,engineer,it   hardware   networking,6-12 exp,"c,,,c++,basics",1,0,it,hardwarenetworking,0,0
2512,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,trainee,fresher,it   hardware   networking,6-12 exp,"linux   general,phython,phython; vlsi; linux",0,0,it,hardwarenetworking,0,0
2513,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,trainee design engineer,trainee design engineer,it   hardware   networking,6-12 exp,"embedded programming,,c++,digital design,",0,0,it,hardwarenetworking,1,0.76
2514,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,training,presently training at prolific systems and technologies pvt. ltd.,it   hardware   networking,6-12 exp,embedded systems; mi,0,0,it,hardwarenetworking,1,0.76
2515,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,av support engineer,electronics and communication engineer,it   hardware   networking,6-12 exp,",,documentation & repo,site surveys,",0,0,it,hardwarenetworking,0,0
2516,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bhamani infotech,hardware 1yearr+ experience in computer maintanance and repairing,it   hardware   networking,6-12 exp,"computer maintenance repair,computer maintenance repair,computer maintenance repair,,,laptop repairing mai,",0,0,it,hardwarenetworking,0,0
2517,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,4 g insattling,wipro,it   hardware   networking,6-12 exp,current job,0,0,it,hardwarenetworking,0,0
2518,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,a+; n+,,it   hardware   networking,6-12 exp,,0,1,it,hardwarenetworking,0,0
2519,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accountant;  and computer technical,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2520,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,acet,,it   hardware   networking,6-12 exp,"pgdca,ncc",0,0,it,hardwarenetworking,0,0
2521,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,it admin,it   hardware   networking,6-12 exp,"xhtml,,server administration,team faultmanagement,windows device driver,windows server administration,wireless networkings,faultmanagement,windows 2000 server,windows xp,c,c++,java,,,pchardware,network troubleshoot,network marketing,networkings",0,1,it,hardwarenetworking,1,0.86
2522,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application network support engineer,trainee support engineer,it   hardware   networking,6-12 exp,,0,1,it,hardwarenetworking,0,0
2523,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,apprentice,,it   hardware   networking,6-12 exp,"matlab,xilinx ise,multicast,,microsoft excel",0,0,it,hardwarenetworking,0,0
2524,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,apprentice trainee,,it   hardware   networking,6-12 exp,hard worker,0,0,it,hardwarenetworking,0,0
2525,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,asic verification engineer,asic verification engineer,it   hardware   networking,6-12 exp,"matlab,perl,,fpgas,xilinx ise,system verilog,c c++,simulations,ovm uvm",0,0,it,hardwarenetworking,0,0
2526,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant content management,b.e cse,it   hardware   networking,6-12 exp,os troubleshooting,0,0,it,hardwarenetworking,0,0
2527,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant enginear,assistant enginear,it   hardware   networking,6-12 exp,network security,0,0,it,hardwarenetworking,0,0
2528,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,associate engineer,b.tech in electronics and communication engineering working in qualcomm india,it   hardware   networking,6-12 exp,"cadence virtuoso,telec,c,perl,embedded design,verilog,design compiler,primetime",1,0,it,hardwarenetworking,1,0.76
2529,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate engineer,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2530,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate engineer,hardware networking,it   hardware   networking,6-12 exp,"desktop troubleshooting,network administration,hardware designing,,hardware networking,cisco",0,1,it,hardwarenetworking,1,0.86
2531,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,bml,hardware &networking,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2532,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cashier,hardware and networking proffessional,it   hardware   networking,6-12 exp,"ms cit,,c programming,networking ,script,c;c++",0,0,it,hardwarenetworking,0,0
2533,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,electronics engineer,working,it   hardware   networking,6-12 exp,pcb design;keil;prot,0,0,it,hardwarenetworking,0,0
2534,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,embedded developer,it   hardware   networking,6-12 exp,"device drivers,debugger  gnu gdb msdn,advanced c;linux int,device driver progra,kernel",0,0,it,hardwarenetworking,0,0
2535,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,fresher,vumminadeepika,it   hardware   networking,6-12 exp,"java,c,basic android,,objective c,linux ubuntu,android studio",0,0,it,hardwarenetworking,0,0
2536,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,hardware  and network engineer,hard working; quick learner; team player; certification in hardware & networking,it   hardware   networking,6-12 exp,"dhcp server,resolution,dns,,,subnetting",0,1,it,hardwarenetworking,0,0
2537,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware design engineer,diploma with computer networking ;transmision experiance in bsnl karnataka internship,it   hardware   networking,6-12 exp,",presentation skill,",0,0,it,hardwarenetworking,0,0
2538,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,intern trainee,vlsi intern at tevatron technologies pvt ltd,it   hardware   networking,6-12 exp,"system verilog,uvm,,xilinx ise,verilog hdl,digital electronics,vlsi,,questa sim,",1,0,it,hardwarenetworking,0,0
2539,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,project engineer,,it   hardware   networking,6-12 exp,"microcontrollers,rtos  wince montavistalinux nucleus ucos,,c,embedded c,java",0,0,it,hardwarenetworking,1,0.76
2540,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,balaji cyber zone,hardware in chiscape,it   hardware   networking,6-12 exp,"pchardware,desktop support,assembling,,,software installatio",0,0,it,hardwarenetworking,0,0
2541,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,broadcasting engineer technology,b.tech ece ,it   hardware   networking,6-12 exp,"broadcasting equipment,broadcastinging,electronic devices,,headend equipment,image processing,ip networking,,micromicroelectronics,microprocessors,hardware verification validation testing,,,,microelectronics,embedded systems,,c++,c,web app development,broadcasting,circuit design",1,0,it,hardwarenetworking,1,0.76
2542,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,a+; n+; mcitp; c;c++,,it   hardware   networking,6-12 exp,,0,1,it,hardwarenetworking,0,0
2543,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aathar card work,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2544,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,account,deepak cv,it   hardware   networking,6-12 exp,",accounting concepts,serco,",1,0,it,hardwarenetworking,0,0
2545,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accountant,,it   hardware   networking,6-12 exp,fianacial accounting,0,0,it,hardwarenetworking,0,0
2546,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,accounts executive,,it   hardware   networking,6-12 exp,,0,0,it,software,0,0
2547,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,acount assitances,,it   hardware   networking,6-12 exp,microelectronics,0,0,it,hardwarenetworking,0,0
2548,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,acounts  and admin,,it   hardware   networking,6-12 exp,",,medical shop handled",0,0,it,hardwarenetworking,0,0
2549,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,hardware,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2550,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,office work,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2551,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,it   hardware   networking,6-12 exp,networkings,0,0,it,hardwarenetworking,0,0
2552,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin head,,it   hardware   networking,6-12 exp,mna jetking course,0,0,it,hardwarenetworking,0,0
2553,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin manager,,it   hardware   networking,6-12 exp,"core java,networkings",0,0,it,hardwarenetworking,0,0
2554,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   hardware   networking,6-12 exp,",coumpter,ip networking",0,1,it,hardwarenetworking,0,0
2555,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,admin,it   hardware   networking,6-12 exp,",hardware & networkin,calling outbond proc,,antivirus,",0,0,it,hardwarenetworking,0,0
2556,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator tools,mca,it   hardware   networking,6-12 exp,"c++,html  hyper text markup language,java,c,dtp,",1,1,it,hardwarenetworking,0,0
2557,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,advance diploma computer hardware  andnetwork,computer hardware engineer,it   hardware   networking,6-12 exp," repair,,basic networking",0,0,it,hardwarenetworking,0,0
2558,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,advance electronics trainee,advance electronics trainee in a.t.i government of india kanpur,it   hardware   networking,6-12 exp,"sensors,circuit implementati,microelectronics,microprocessors,scada s7 400,basics,plc  versa pro,8051 microcontroller,89c51embedded system,power microelectronics,transducers",0,1,it,hardwarenetworking,0,0
2559,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,advanced network ang technologies,,it   hardware   networking,6-12 exp,",",0,0,it,hardwarenetworking,0,0
2560,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,agm professional training  and development,,it   hardware   networking,6-12 exp,",c,c++",0,0,it,hardwarenetworking,0,0
2561,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,airport,vaseemakram,it   hardware   networking,6-12 exp,",",0,0,it,hardwarenetworking,0,0
2562,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,airtel broad band,ccna,it   hardware   networking,6-12 exp,network administrato,0,1,it,hardwarenetworking,1,0.82
2563,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,alarm monitoring  andfmc,,it   hardware   networking,6-12 exp,,0,0,telecom,isp,0,0
2564,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,alarm monitoring engineer,alarm monitoring engineer at nokia siemens network,it   hardware   networking,6-12 exp,",,microelectronics,",0,1,it,hardwarenetworking,0,0
2565,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,analog layout traineee,analog layout trainee,it   hardware   networking,6-12 exp,"standard cell layout,army,microcontrollers,embedded systems,c++,java,sql   pl sql,,orcade,c,pcb design,digital electronics,cmos vlsi,8051,msp430,ic custom layout,analog layout,memory layout design",0,0,it,hardwarenetworking,1,1.0
2566,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,analyst,hcl analyst _sunaynagupta_b tech 2012 ,it   hardware   networking,6-12 exp,supports,1,0,it,hardwarenetworking,0,0
2567,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,networking,it   hardware   networking,6-12 exp,"faultmanagement,basic networking,,cisco packet tracer;,osi model,",0,0,it,hardwarenetworking,0,0
2568,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,analyst trainee,emc corporation,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2569,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,antivirus support,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2570,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application engineer,,it   hardware   networking,6-12 exp,"matlab,microelectronics,orcade,java,networkings,vlsi",0,0,it,hardwarenetworking,0,0
2571,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application engineer,,it   hardware   networking,6-12 exp,",v,,switching,networking protocols",0,0,it,hardwarenetworking,0,0
2572,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application engineer,junior analyst at eclerx,it   hardware   networking,6-12 exp,"dhcp,network monitoring &,specialty,,application software,windows 2003,windows 2008,cisco,antivirus",0,0,it,hardwarenetworking,0,0
2573,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support,b.e in e&tc,it   hardware   networking,6-12 exp,"computer knowledge,",0,0,it,hardwarenetworking,0,0
2574,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,r apdrp,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2575,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aptech,,it   hardware   networking,6-12 exp,"hardware engineer,",0,0,it,hardwarenetworking,0,0
2576,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,asdf,qwe,it   hardware   networking,6-12 exp,asdf,0,0,it,hardwarenetworking,0,0
2577,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,asic design verification trainee,verification of sata link layer protocol using uvm,it   hardware   networking,6-12 exp,"xilinx,system verilog,verilog,vlsi,vista,functional coverage;,,verilog; systemveril,ld; asic flow,shell scripting; per",0,0,it,hardwarenetworking,0,0
2578,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,asic design verification trainee,be with 6 months good experience in asic; design and verification; verilog and system verilog; simul,it   hardware   networking,6-12 exp,"system verilog,system verilog,system verilog,verilog,verilog,unix,verilog",0,0,it,hardwarenetworking,0,0
2579,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,asscoiate consultant,btech in electronics and communnication,it   hardware   networking,6-12 exp,",,windows7,,telecom software,rf planning, routing, switching",1,1,it,hardwarenetworking,0,0
2580,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assembling pc,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2581,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,asset management,asset management,it   hardware   networking,6-12 exp,"comprehensive proble,networking switching",0,0,it,hardwarenetworking,0,0
2582,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant engineer,hardware engineer,it   hardware   networking,6-12 exp,",,",0,1,it,hardwarenetworking,0,0
2583,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant operation,assistant operation,it   hardware   networking,6-12 exp,"autom,os; windows 2000; wi,,automated teller mac",1,0,it,hardwarenetworking,0,0
2584,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant technical engineer,jchnp certified hardware technician,it   hardware   networking,6-12 exp,"technical support,hardware verification validation testing,hardware installatio",0,0,it,hardwarenetworking,0,0
2585,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate consultant,information security,it   hardware   networking,6-12 exp,"firewalls,network security,information security,pci dss,bcp dr,bfsi,metasploit,penetration testing,application security,vulnerability assess,nmap,nessus",0,0,it,hardwarenetworking,0,0
2586,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate customer engineer,diploma in electrical engineering and vocational course in plc;scada,it   hardware   networking,6-12 exp,"troubleshooting,autocad;plc,plc;scada,auto cad;electrical",1,0,it,hardwarenetworking,0,0
2587,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate engineer coustomer support,,it   hardware   networking,6-12 exp,"hardware networking,android developer",0,0,it,hardwarenetworking,0,0
2588,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate trainee,trainee,it   hardware   networking,6-12 exp,",telecomm",0,1,it,hardwarenetworking,0,0
2589,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,asst engineer,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2590,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,atm system managemant,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2591,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,b.sc knowledge computer hardware good typing speed,,it   hardware   networking,6-12 exp,"compu,,,microsoft access,microsoft excel",0,0,it,hardwarenetworking,0,0
2592,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,blakoffice,,it   hardware   networking,6-12 exp,hardware&networking,0,0,it,hardwarenetworking,0,0
2593,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bpo,,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2594,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,business development executive,business development executive,it   hardware   networking,6-12 exp,",team leader,,,result oriented,,",0,0,it,hardwarenetworking,0,0
2595,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,ce engineer,btech from h.b.t.i kanpur with keen interest in robotics and physics,it   hardware   networking,6-12 exp,"physical,embedded systems,,developing bci brain,,,iit jee physical teac",0,0,it,hardwarenetworking,1,0.76
2596,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,computer operator,dce +6month,it   hardware   networking,6-12 exp,",oracle   dba,",1,0,it,hardwarenetworking,0,0
2597,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,design verification engineer,asic design and verification engineer,it   hardware   networking,6-12 exp,"perl scripting,system verilog,uvm,verilog,xilinx ise,c;c++",0,0,it,hardwarenetworking,0,0
2598,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,desktop engineer,,it   hardware   networking,6-12 exp,"asp.net,networkings,sqlserver",0,0,it,hardwarenetworking,0,0
2599,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,desktop engineer,,it   hardware   networking,6-12 exp,"mvc,asp.net,networkings,sqlserver,.net developer",0,0,it,hardwarenetworking,0,0
2600,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,desktop network engineer,,it   hardware   networking,6-12 exp,dekstop engineer;net,0,0,it,hardwarenetworking,0,0
2601,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,desktop support engineer,desktop support engineer,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2602,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,desktop support engineer,desktop support engineer,it   hardware   networking,6-12 exp,,0,0,it,hardwarenetworking,0,0
2603,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,desktop support engineer,server admin and vmware admin,it   hardware   networking,6-12 exp,"server 2012,firmware",0,0,it,hardwarenetworking,0,0
2604,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,digital design verification intern,,it   hardware   networking,6-12 exp,"verilog,veririfcation,system verilog,shell scripitng,tcl,vhdl",0,0,it,hardwarenetworking,0,0
2605,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,e.c.engineer,patel prashant v,it   hardware   networking,6-12 exp,"computer hardware,controlling,indesign,smt oprator,application developm",0,0,it,hardwarenetworking,0,0
2606,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,electronics engineer,m.e with 1+years it & hardware experience,it   hardware   networking,6-12 exp,"basic computer knowledge,selenium,matlab,manual testing,software testing,multicast",0,0,it,hardwarenetworking,0,0
2607,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded developer,,it   hardware   networking,6-12 exp,"embedded systems,embedded c,vhdl,verilog,wireless communicati",0,0,it,hardwarenetworking,1,0.76
2608,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded developer trainee,b.e ece    embedded developer trainee  6 months,it   hardware   networking,6-12 exp,"c,linux   embedded,tcp ip,c++,8051; embedded c",0,0,it,hardwarenetworking,1,0.76
2609,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,,it   hardware   networking,6-12 exp,"c,c++,rtos",0,0,it,hardwarenetworking,0,0
2610,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,embedded system engineer,it   hardware   networking,6-12 exp,"automation,embedded design,embedded hardware,,embedded systems,c,computer hardware",0,0,it,hardwarenetworking,1,0.76
2611,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,embedded trainee engineer,it   hardware   networking,6-12 exp,"microcontrollers,embedded systems,linux   embedded,rtos  wince montavistalinux nucleus ucos,embedded c,device drivers linux",0,0,it,hardwarenetworking,1,0.76
2612,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded system electronics design engineer,embedded system engineer,it   hardware   networking,6-12 exp,"embedded systems,rf analysis,power electronics,analog electronics,gsm,wcdma,3g,wwcdma,micro controllers,pcb desing",0,0,it,hardwarenetworking,1,0.76
2613,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded system engineer,embedded system engineer,it   hardware   networking,6-12 exp,"embedded c; c++; sig,controlling,gsm,c++,,embedded c",0,0,it,hardwarenetworking,1,0.76
2614,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded trainee,b.e. electronics & communication+ 6 months experience in embedded,it   hardware   networking,6-12 exp,embedded c;pcb desig,0,0,it,hardwarenetworking,1,0.76
2615,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,full custom layout design engineer,custom layout design engineer,it   hardware   networking,6-12 exp,"vlsi design,embedded systems,c",0,0,it,hardwarenetworking,1,1.0
2616,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hadware network,,it   hardware   networking,6-12 exp,c,0,0,it,hardwarenetworking,0,0
2617,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware design engineer,,it   hardware   networking,6-12 exp,"matlab,xilinx ise,c,cadence,embedded systems",0,0,it,hardwarenetworking,1,0.76
2618,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware engineer,,it   hardware   networking,6-12 exp,"hardware development,",0,0,it,hardwarenetworking,0,0
2619,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware network,computer hardware,it   hardware   networking,6-12 exp,fresher jobs,0,0,it,hardwarenetworking,0,0
2620,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware network,harishchandra jaiswar,it   hardware   networking,6-12 exp,"computer hardware,microsoft outlook,,,netbackup",0,1,it,hardwarenetworking,0,0
2621,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware network,networking and ccna,it   hardware   networking,6-12 exp,",",0,1,it,hardwarenetworking,0,0
2622,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,hardware network,hardware networking,it   hardware   networking,6-12 exp,"computer hardware,assembling,,netbackup,",1,0,it,hardwarenetworking,0,0
2623,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,intern,,it   hardware   networking,6-12 exp,"uvm,rtl,system verilog",0,0,it,hardwarenetworking,0,0
